你和山田君处的怎么样了？|山田君とどうしたの？
哈哈……是啊。嘛，毕竟是在新学期转学过来，是会这样吧|はは……そうだね。まぁ、新学期に転校してきたら、そうなるよね
不过，也有些小学时候的朋友在这里，算是舒了口气吧|でも、小学校の頃の友達も少しいて、ほっとしたかも
比如我？|俺とか？
没错，比如国见君|そう、國見君とか
姬野你之前是去了北海道对吧|姫野さんは、北海道に行ってたんだよね
嗯|うん
那边果然很冷？|やっぱり、寒い？
总感觉这个问题问得好傻。|なんだか間抜けな質問だな。
北海道……那里还有些什么呢。|北海道……他になにがあるだろう。
很冷的哦～。雪积得很厚呢。在我来这边之前，雪都还积着的哦|さむいよー。雪はこんもり積もるしね。まだこっちに来る前は、雪が積もってたんだよ
是么。想象不到啊|ふーん。想像できないな
这里已经到处一片春色，有些树上的樱花都已散尽，开始冒出新芽了。|こっちはすっかり春めいてきて、木によっては桜を散らして、新緑が芽吹いていたりするのに。
……|……
……|……
……|……
我说，虽然到了现在来郑重其事说有点那个|あのさ、今更あらたまって言うのもなんだけど
不管说的早晚，总感觉不把这句话说出来，果然还是不能释然。|今更でもなんでも、やっぱりこの言葉を言わないと、しっくりこない気がした。
好久不见|久しぶりだね
没法说新堂什么了啊。|新堂のこと言えないな。
我也是，到了这时候还郑重其事地说个什么啊。|俺だって今更、何をあらたまって言ってるんだ。
不过，我感觉我明白了不找个地方说出来，就心里不踏实的感觉。好久不见这句话。|でも、どこかで言わずには、落ち着かない気持ち、分かる気がした。久しぶりって。
没错。好久不见了啊。五年没见了。|そう。久しぶりなんだ。五年ぶり。
……|……
姬野露出了一脸像是被打了个猝不及防的表情，|姫野さんはちょっと虚をつかれたような顔をしてから、
嗯，好久没见了呢|うん、久しぶりだね
然后宛然一笑。|にっこりと笑った。
……|……
……|……
啊哈哈|あはは
啊哈哈|あはは
哈哈|はは
诶嘿嘿。不过，总感觉有点羞羞的呢……这种事|えへへ。でも、なんだか照れくさいね……こういうのって
是有点|まぁね
多少年不见了呢|何年ぶりになるのかな
五年……了吧|五年……かな
和姬野星奏……和姬野在五年左右之前，也是像这样一起回家的。|姫野星奏……姫野さんとは、五年ほど前、こうして一緒に帰ったものだ。
不记得有说过什么太特别的话。|特別何の話をしていたかは、よく覚えていない。
我喜欢读书，她喜欢听音乐。|俺は本が好きで、彼女は音楽を聞くのが好きで。
各自聊过自己的爱好，虽然话头接不上，但却不可思议地不会觉得无聊。|それぞれ好きなことを話していたけど、かみあってないようで、不思議と退屈じゃなかった。
但是……她搬去了遥远的北方城市。|けど……彼女、遠い北の街に引っ越していった。
在那之后，就没能联系上。|それ以来、連絡は取りあわなかった。
呐|ねぇ
走在稍前面一点的姬野回过头来。|少し先を歩いていた姫野さんが振り返る。
以前，经常像这样一起回家呢|昔、よくこうして一緒に帰ったよね
嗯……|うん……
国见君，小学的事，你还记得么？|國見君は、小学校のこと、よく覚えてる？
小学时代的事……|小学校の頃のこと……
我……|俺は……
记得很清楚啊|よく覚えてるよ
记得一些|少しだけね
根本记不得|全然
我记得很清楚|よく覚えてるよ
不如说，是到了最近才想起来的吧|というより、最近になって思い出したというか
因为再会了？|再会したから？
嗯……|うん……
记得一点|少しだけ
一点？|少し？
嗯。一切都在随着时间推移而改变……记忆也会变得有些模糊|うん。だんだん、時間とともにかわっていって……記憶が正しかったかも分からなくなるんだ
所以，细节的地方就记不太清楚了啊|だから、細かいことはよく覚えてないんだ
记不得了|全然
这样啊……|そうなんだ……
是么|そっかぁ
我可是记得的哦|私、ちゃんと覚えてるよ
我记得，走路恍恍惚惚的国见君经常摔跟头|よくぼーっと歩いていた國見君がこけてたの、覚えてるよ
姬野……|姫野さん……
那是姬野你啊|それ姫野さんだよ
诶|え゛
你这不是根本记不得了么！还随意篡改了|全然覚えてないじゃん！なんか都合良く改ざんされてるしっ
没有那种事哦。是国见君……呀|そんなことないよ。國見君が……きゃぁ
摔了。|こけた。
哈哈|はは
啊哈哈|あはは
不过我记得哦|でも覚えてるんだよ
因为，那是很重要的回忆|だって、大事な思い出だから
是么|そっか
我说姬野啊|姫野さんはさ
嗯？|うん？
为什么回来了？|どうして戻って来たの？
嗯？|うん？
不……如果不好回答的话真是不好意思。那个……因为父亲调职之类的？|いや……もし答えづらかったらごめん。その……親父さんの転勤とかで？
嗯……|ん……
姬野稍微思考了一下。|少し考え込む姫野さん。
果然还是不好回答么。|やっぱり答えづらいのかな。
不。不是的|ううん。違うんだ
是因为我说想要回来|私が戻りたいって言ったから
诶|え
为什么？|なんで？
嗯……|うん……
姬野忽然望向了天空。|ふと、姫野さんが空を仰いだ。
天色渐暗，远空暗蓝微染，星点若隐若现。|空はゆっくり暮れ始め、かすかに藍色に染まった向こうには、星が見えたような気がした。
我似乎正要回忆起什么。|俺は何かを思い出そうとしていた。
我回来啊|私が戻ってきたのはね
……姬野说着，望向天空，向着天张开了手。|……そう言って、姫野さんは空をあおぎ、天に向かって手を広げた。
是为了，再次倾听星之声哦|もう一度、星の音を聞くためだよ
星之声。|星の音。
什么啊那是。|なにそれ。
锵啷啷？像这样。|シャランラ？みたいな。
试着在脑子里模仿了一下，但不太明白。|頭の中で鳴らしてみるけど、よく分からない。
锵啷啷？|シャランラ？
怎么了？|何が？
不，没什么……|い、いや……
……|……
虽然星星还没有露脸，姬野还是若有所思地仰望着天空。|まだ空には星が出てないけど、姫野さんは物思いげに、天を見上げている。
这令我想起了，有些紧张地看着那张侧脸的少年。|その横顔を緊張気味に見つめていた少年を、俺は思い出す。
